x,y,z
0.12021,0.24925,0.22856
0.12007,0.24931,0.22816
0.11993,0.24938,0.22777
0.1198,0.24944,0.22737
0.11966,0.24949,0.22698
0.11953,0.24954,0.22658
0.11939,0.24959,0.22618
0.11926,0.24964,0.22578
0.11913,0.24968,0.22538
0.11899,0.24972,0.22498
0.11886,0.24975,0.22457
0.11873,0.24978,0.22416
0.11859,0.2498,0.22375
0.11846,0.24982,0.22334
0.11833,0.24984,0.22292
0.1182,0.24985,0.2225
0.11807,0.24985,0.22208
0.11793,0.24986,0.22166
0.1178,0.24986,0.22123
0.11767,0.24987,0.2208
0.11754,0.24987,0.22038
0.11741,0.24987,0.21995
0.11728,0.24987,0.21952
0.11715,0.24988,0.21909
0.11702,0.24989,0.21866
0.11689,0.2499,0.21824
0.11676,0.24991,0.21781
0.11663,0.24993,0.21739
0.1165,0.24996,0.21697
0.11637,0.24999,0.21654
0.11624,0.25003,0.21613
0.11611,0.25007,0.21571
0.11598,0.25012,0.2153
0.11585,0.25017,0.21489
0.11572,0.25023,0.21448
0.11559,0.25029,0.21407
0.11546,0.25035,0.21367
0.11533,0.25042,0.21326
0.11519,0.25049,0.21286
0.11506,0.25056,0.21246
0.11492,0.25063,0.21207
0.11478,0.2507,0.21167
0.11464,0.25077,0.21127
0.1145,0.25084,0.21088
0.11435,0.25091,0.21049
0.1142,0.25097,0.2101
0.11404,0.25104,0.2097
0.11389,0.2511,0.20931
0.11373,0.25116,0.20893
0.11357,0.25122,0.20854
0.1134,0.25128,0.20815
0.11324,0.25134,0.20776
0.11307,0.2514,0.20738
0.11289,0.25146,0.207
0.11272,0.25152,0.20661
0.11255,0.25159,0.20623
0.11237,0.25165,0.20585
0.11219,0.25172,0.20547
0.11201,0.2518,0.2051
0.11183,0.25187,0.20472
0.11164,0.25196,0.20435
0.11146,0.25204,0.20397
0.11127,0.25214,0.2036
0.11109,0.25223,0.20323
0.1109,0.25234,0.20286
0.11071,0.25245,0.20249
0.11052,0.25256,0.20212
0.11033,0.25268,0.20176
0.11014,0.2528,0.20139
0.10995,0.25292,0.20103
0.10976,0.25305,0.20067
0.10957,0.25318,0.2003
0.10937,0.25331,0.19994
0.10918,0.25344,0.19958
0.10898,0.25356,0.19922
0.10878,0.2537,0.19886
0.10859,0.25382,0.1985
0.10839,0.25395,0.19815
0.10819,0.25408,0.19779
0.10798,0.2542,0.19743
0.10778,0.25432,0.19707
0.10758,0.25444,0.19672
0.10737,0.25455,0.19636
0.10717,0.25466,0.196
0.10696,0.25477,0.19564
0.10675,0.25487,0.19529
0.10655,0.25497,0.19493
0.10634,0.25507,0.19457
0.10613,0.25517,0.19421
0.10593,0.25526,0.19384
0.10572,0.25535,0.19348
